"","date","Appointments","Source.file.for.appointments","Patients","Item_all.antibiotics","Item_Penicillins","Item_Cephalosporins","item_Tetracyclines","item_Macrolides","item_Quinolones","studymonth","time","intervention1","intervention2","time_after_inter1","time_after_inter2"
"1",2018-01-01,26014945,"Jun-19",58914146,3455119,1802617,73569,486574,416330,58457,1,1,0,0,0,0
"2",2018-02-01,22973301,"Jul-19",58969634,2827697,1454298,63421,379457,335883,50358,2,2,0,0,0,0
"3",2018-03-01,24202373,"Aug-19",59005024,2937672,1489637,68720,391780,349055,55416,3,3,0,0,0,0
"4",2018-04-01,22819121,"Sep-19",59039595,2613950,1278525,64634,355677,303583,52780,4,4,0,0,0,0
"5",2018-05-01,23927711,"Oct-19/Oct-20",59085088,2606671,1274502,65928,341918,298906,52428,5,5,0,0,0,0
"6",2018-06-01,22879653,"Nov-19/Nov-20",59133600,2437569,1165311,63920,315419,273940,50712,6,6,0,0,0,0
"7",2018-07-01,23480456,"Dec-19/Dec-20",59178163,2436445,1166351,64194,299095,270879,50850,7,7,0,0,0,0
"8",2018-08-01,22242395,"Jan-20/Jan-21",59234413,2379007,1074218,67365,300343,257307,55059,8,8,0,0,0,0
"9",2018-09-01,22636387,"Feb-20/Feb-21",59297331,2374847,1104097,62730,310632,258527,52603,9,9,0,0,0,0
"10",2018-10-01,27982868,"Mar-20/Mar-21",59409696,2768368,1332099,68175,371693,306559,57717,10,10,0,0,0,0
"11",2018-11-01,27083933,"Apr-21",59503377,2723573,1337546,65209,363290,302122,54266,11,11,0,0,0,0
"12",2018-12-01,21841521,"May-21",59574450,2842893,1439904,65171,392992,321554,52317,12,12,0,0,0,0
"13",2019-01-01,26825846,"Jun-21",59607191,3149366,1595115,68400,459424,358276,56052,1,13,0,0,0,0
"14",2019-02-01,24315108,"Aug-21",59669673,2691451,1356754,60033,380319,307401,48159,2,14,0,0,0,0
"15",2019-03-01,25560154,"Aug-21",59714859,2685318,1306298,64514,378133,303299,49531,3,15,0,0,0,0
"16",2019-04-01,23852148,"Sep-21",59759638,2537741,1232968,61671,368009,286358,43334,4,16,0,0,0,0
"17",2019-05-01,24643147,"Oct-21",59805344,2493424,1161834,65567,361513,278707,45961,5,17,0,0,0,0
"18",2019-06-01,23190629,"Nov-21",59855056,2319379,1075714,61554,327476,255067,43088,6,18,0,0,0,0
"19",2019-07-01,26301292,"Dec-21",59901236,2479559,1183599,64217,328824,272002,44451,7,19,0,0,0,0
"20",2019-08-01,22846393,"Jan-22",59957750,2390169,1082089,66125,322635,258484,45937,8,20,0,0,0,0
"21",2019-09-01,25788437,"Feb-22",60006178,2392185,1106489,61627,328529,258227,44323,9,21,0,0,0,0
"22",2019-10-01,30054362,"Mar-22",60123503,2764886,1326516,64881,395688,302993,48064,10,22,0,0,0,0
"23",2019-11-01,26809584,"Mar-22",60224288,2765418,1372460,62883,395821,308104,44864,11,23,0,0,0,0
"24",2019-12-01,23606506,"Mar-22",60287576,3090036,1612126,65223,449363,347963,44969,12,24,0,0,0,0
"25",2020-01-01,27199296,"Mar-22",60323942,3075186,1512847,67687,484429,346489,47774,1,25,0,0,0,0
"26",2020-02-01,24104620,"Mar-22",60377858,2620280,1287906,61109,389191,296112,41199,2,26,0,0,0,0
"27",2020-03-01,24053468,"Mar-22",60429301,2790445,1337922,67657,444319,324455,44802,3,27,1,0,1,0
"28",2020-04-01,16007881,"Mar-22",60458907,2380160,1031277,69830,385528,269408,45267,4,28,1,0,2,0
"29",2020-05-01,16417212,"Mar-22",60408501,1980231,815470,63990,302355,213730,41111,5,29,1,0,3,0
"30",2020-06-01,20690805,"Mar-22",60398455,1997987,826395,65458,285756,210033,41970,6,30,1,0,4,0
"31",2020-07-01,22491437,"Mar-22",60413787,2053914,838629,68006,289221,213069,43032,7,31,1,0,5,0
"32",2020-08-01,20150520,"Mar-22",60423015,1909877,803526,62014,260326,198217,38236,8,32,1,0,6,0
"33",2020-09-01,26714254,"Mar-22",60417236,2239793,982699,68329,317909,232242,42604,9,33,1,0,7,0
"34",2020-10-01,28301930,"Mar-22",60470172,2234167,935141,70510,334347,231017,45263,10,34,1,0,8,0
"35",2020-11-01,25061602,"Mar-22",60528446,2130732,874061,68925,320201,218985,44130,11,35,1,0,9,0
"36",2020-12-01,23535936,"Mar-22",60570367,2239568,922402,73208,342278,232090,46283,12,36,1,0,10,0
"37",2021-01-01,22492069,"Jul-22",60606345,2138198,871363,68891,361659,220216,43198,1,37,1,0,11,0
"38",2021-02-01,22399569,"Jul-22",60618754,1906307,770461,64283,300204,196091,39857,2,38,1,0,12,0
"39",2021-03-01,27225424,"Jul-22",60650740,2149071,896160,72008,328011,220937,43247,3,39,1,0,13,0
"40",2021-04-01,23879932,"Jul-22",60744002,2008221,856037,66620,309548,208460,38362,4,40,1,0,14,0
"41",2021-05-01,23508395,"Jul-22",60798847,2048067,921045,64622,297738,211849,36960,5,41,1,0,15,0
"42",2021-06-01,26784182,"Jul-22",60860759,2277908,1066097,68034,320190,234304,38103,6,42,1,0,16,0
"43",2021-07-01,25739219,"Jul-22",60970002,2366079,1107313,70663,328687,239900,39507,7,43,1,1,17,1
"44",2021-08-01,23852171,"Jul-22",61032314,2211282,993936,68807,313837,220864,39298,8,44,1,1,18,2
"45",2021-09-01,28522501,"Jul-22",61086074,2528557,1196482,72195,367078,252702,41269,9,45,1,1,19,3
"46",2021-10-01,30303834,"Jul-22",61194033,2759732,1382415,71189,406616,279230,41305,10,46,1,1,20,4
"47",2021-11-01,30405070,"Jul-22",61300225,2847431,1406536,73334,438087,291002,42494,11,47,1,1,21,5
"48",2021-12-01,25140776,"Jul-22",61395839,2909599,1428396,76722,461600,299189,43163,12,48,1,1,22,6
"49",2022-01-01,25635474,"Jul-22",61469262,2513631,1155922,72839,404254,254081,39962,1,49,1,1,23,7
"50",2022-02-01,25355260,"Jul-22",61526961,2303888,1070098,67281,348776,234606,37047,2,50,1,1,24,8
"51",2022-03-01,29595015,"Jul-22",61573603,2730319,1315297,75084,424038,277391,40793,3,51,1,1,25,9
"52",2022-04-01,23912826,"Jul-22",61625745,2462449,1172924,68788,397130,251545,37164,4,52,1,1,26,10
"53",2022-05-01,27495426,"Jul-22",61654788,2526967,1211184,71703,374477,255516,38638,5,53,1,1,27,11
"54",2022-06-01,25827773,"Jul-22",61715466,2479982,1202898,69485,363347,251682,36709,6,54,1,1,28,12
"55",2022-07-01,25914691,"Jul-22",61768942,2532228,1247606,70482,355336,257320,36773,7,55,1,1,29,13
