"","exp(Est.)","2.5%","97.5%","var"
"(Intercept)",2882493.89426977,2692477.83798779,3085919.94083487,"(Intercept)"
"time",0.999845396418072,0.997046655475003,1.00265199351393,"time"
"intervention1",0.852902513986318,0.797865945404861,0.911735489594128,"intervention1"
"time_after_inter1",0.995120922056332,0.989021652999213,1.00125780513628,"time_after_inter1"
"intervention2",1.18167253988293,1.08526446530951,1.28664490190891,"intervention2"
"time_after_inter2",1.01000754429811,1.00061961940769,1.01948354774709,"time_after_inter2"
"as.factor(studymonth)2",0.896868365109589,0.840075907080882,0.95750021819981,"as.factor(studymonth)2"
"as.factor(studymonth)3",1.00292259220828,0.938097625197894,1.07222713174398,"as.factor(studymonth)3"
"as.factor(studymonth)4",0.905974323775134,0.847655916574912,0.968305015384474,"as.factor(studymonth)4"
"as.factor(studymonth)5",0.879177924007857,0.822697560923429,0.939535813373714,"as.factor(studymonth)5"
"as.factor(studymonth)6",0.873593263639787,0.817472129684701,0.933567228244425,"as.factor(studymonth)6"
"as.factor(studymonth)7",0.869554986667675,0.813931032976272,0.928980274991755,"as.factor(studymonth)7"
"as.factor(studymonth)8",0.825045653515691,0.769096003226897,0.885065489261574,"as.factor(studymonth)8"
"as.factor(studymonth)9",0.885098709388422,0.82573105808926,0.94873472141624,"as.factor(studymonth)9"
"as.factor(studymonth)10",0.972792508417184,0.907910657477414,1.04231099903807,"as.factor(studymonth)10"
"as.factor(studymonth)11",0.964910303988895,0.900833139639086,1.03354534127925,"as.factor(studymonth)11"
"as.factor(studymonth)12",1.0208448873669,0.953222295249239,1.09326469728728,"as.factor(studymonth)12"
"negbinom_lagres",1.02537733898556,1.01089373960214,1.04006845241608,"negbinom_lagres"
